David et les chefs de l'armée mirent à part pour le service ceux des fils d'Asaph, d'Héman et de Jeduthun qui prophétisaient en s'accompagnant de la harpe, du luth et des cymbales. Et voici le nombre de ceux qui avaient des fonctions à remplir.
Des fils d'Asaph: Zaccur, Joseph, Nethania et Aschareéla, fils d'Asaph, sous la direction d'Asaph qui prophétisait suivant les ordres du roi.
De Jeduthun, les fils de Jeduthun: Guedalia, Tseri, Esaïe, Haschabia, Matthithia et Schimeï, six, sous la direction de leur père Jeduthun qui prophétisait avec la harpe pour louer et célébrer l'Eternel.
D'Héman, les fils d'Héman: Bukkija, Matthania, Uziel, Schebuel, Jerimoth, Hanania, Hanani, Eliatha, Guiddalthi, Romamthi-Ezer, Joschbekascha, Mallothi, Hothir, Machazioth,
tous fils d'Héman, qui était voyant du roi pour révéler les paroles de Dieu et pour exalter sa puissance; Dieu avait donné à Héman quatorze fils et trois filles.
Tous ceux-là étaient sous la direction de leurs pères, pour le chant de la maison de l'Eternel, et avaient des cymbales, des luths et des harpes pour le service de la maison de Dieu. Asaph, Jeduthun et Héman recevaient les ordres du roi.
Ils étaient au nombre de deux cent quatre-vingt-huit, y compris leurs frères exercés au chant de l'Eternel, tous ceux qui étaient habiles.
Ils tirèrent au sort pour leurs fonctions, petits et grands, maîtres et disciples.
Le premier sort échut, pour Asaph, à Joseph; le second, à Guedalia, lui, ses frères et ses fils, douze;
le troisième, à Zaccur, ses fils et ses frères, douze;
le quatrième, à Jitseri, ses fils et ses frères, douze;
le cinquième, à Nethania, ses fils et ses frères, douze;
le sixième, à Bukkija, ses fils et ses frères, douze;
le septième, à Jesareéla, ses fils et ses frères, douze;
le huitième, à Esaïe, ses fils et ses frères, douze;
le neuvième, à Matthania, ses fils et ses frères, douze;
le dixième, à Schimeï, ses fils et ses frères, douze;
le onzième, à Azareel, ses fils et ses frères, douze;
le douzième, à Haschabia, ses fils et ses frères, douze;
le treizième, à Schubaël, ses fils et ses frères, douze;
le quatorzième, à Matthithia, ses fils et ses frères, douze;
le quinzième, à Jerémoth, ses fils et ses frères, douze;
le seizième, à Hanania, ses fils et ses frères, douze;
le dix-septième, à Joschbekascha, ses fils et ses frères, douze;
le dix-huitième, à Hanani, ses fils et ses frères, douze;
le dix-neuvième, à Mallothi, ses fils et ses frères, douze;
le vingtième, à Elijatha, ses fils et ses frères, douze;
le vingt et unième, à Hothir, ses fils et ses frères, douze;
le vingt-deuxième, à Guiddalthi, ses fils et ses frères, douze;
le vingt-troisième, à Machazioth, ses fils et ses frères, douze;
le vingt-quatrième, à Romamthi-Ezer, ses fils et ses frères, douze.
